Experiment ID                :  scheduler-gen
Problem Type                 :  SCHED
Representation               :  gen
Data Input File Name         :  ../testdata1
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  2
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75800
Number of Genes/Points       :  35
Size of Genes                :  1
Number of Slots              :  35
Number of Monitors           :  7


 R   3 G  76      0    1118.55
 R   3 G  77      0    998.807
 R   3 G  78      0   1040.968
 R   3 G  79      0   1032.241
 R   3 G  80      0   1152.746
 R   3 G  81      0   1113.536
 R   3 G  82      0   1092.278
 R   3 G  83      0   1191.803
 R   3 G  84      0   1165.116
 R   3 G  85      0   1025.498
 R   3 G  86      0   1143.095
 R   3 G  87      0   1097.166
 R   3 G  88      0   1015.598
 R   3 G  89      0   1138.362
 R   3 G  90      0   1168.807
 R   3 G  91      0   1091.361
 R   3 G  92      0   1353.344
 R   3 G  93      0   1089.717
 R   3 G  94      0     1194.1
 R   3 G  95      0   1231.586
 R   3 G  96      0   1190.852
 R   3 G  97      0   1150.442
 R   3 G  98      0   1149.386
 R   3 G  99      0    1027.22
 R   3 G 100      0   1128.553
 R   3 G 101      0   1139.473
 R   3 G 102      0   1162.596
 R   3 G 103      0   1156.556
 R   3 G 104      0   1062.166
 R   3 G 105      0   1212.173
 R   3 G 106      0   1131.969
 R   3 G 107      0   1192.558
 R   3 G 108      0   1394.653
 R   3 G 109      0   1361.419
 R   3 G 110      0   1242.396
 R   3 G 111      0    1376.24
 R   3 G 112      0   1370.932
 R   3 G 113      0   1393.335
 R   3 G 114      0   1200.794
 R   3 G 115      0   1290.591
 R   3 G 116      0   1378.019
 R   3 G 117      0   1327.038
 R   3 G 118      0   1349.462
 R   3 G 119      0    1327.58
 R   3 G 120      0   1443.789
 R   3 G 121      0    1496.88
 R   3 G 122      0     1415.2
 R   3 G 123      0   1444.307
 R   3 G 124      0   1386.531
 R   3 G 125      0   1329.505
 R   3 G 126      0   1358.795
 R   3 G 127      0   1381.652
 R   3 G 128      0   1491.809
 R   3 G 129      0   1473.978
 R   3 G 130      0   1616.126
 R   3 G 131      0   1541.378
 R   3 G 132      0   1629.371
 R   3 G 133      0   1776.314
 R   3 G 134      0   1550.445
 R   3 G 135      0    1593.26
 R   3 G 136      0   1679.298
 R   3 G 137      0   1444.376
 R   3 G 138      0   1309.764
 R   3 G 139      0   1583.088
 R   3 G 140      0   1610.969
 R   3 G 141      0   1571.891
 R   3 G 142      0   1635.188
 R   3 G 143    220   1666.917
 R   3 G 144      0   1635.862
 R   3 G 145    560   1762.116
 R   3 G 146     60   1633.217
 R   3 G 147     60    1627.42
 R   3 G 148     60   1827.818
 R   3 G 149     60   1802.012
 R   3 G 150    210   1526.369
 R   3 G 151     60   1510.884
 R   3 G 152    250     1756.1
